name,slug,description,cuisine_type,address,city,state,country,postal_code,phone,email,website,cover_image_url,latitude,longitude,min_booking_notice,max_booking_days,cancellation_hours,deposit_required,deposit_amount
The Italian Kitchen,the-italian-kitchen,Authentic Italian cuisine with wood-fired pizza and fresh pasta,Italian,123 Main Street,New York,NY,USA,10001,+1-212-555-0101,info@italiankit.com,https://www.italiankit.com,https://example.com/images/italian-kitchen.jpg,40.7128,-74.0060,60,30,24,true,50
Sakura Sushi,sakura-sushi,Premium Japanese sushi and ramen restaurant with omakase experience,Japanese,456 Oak Avenue,Los Angeles,CA,USA,90001,+1-213-555-0202,hello@sakurasushi.com,https://www.sakurasushi.com,https://example.com/images/sakura-sushi.jpg,34.0522,-118.2437,120,60,48,true,75
Le Petit Bistro,le-petit-bistro,Cozy French bistro with classic dishes and fine wines,French,789 Elm Street,San Francisco,CA,USA,94102,+1-415-555-0303,reservations@lepetitbistro.com,https://www.lepetitbistro.com,https://example.com/images/le-petit-bistro.jpg,37.7749,-122.4194,90,45,36,false,
Spice Paradise,spice-paradise,Authentic Indian cuisine with traditional recipes from across India,Indian,321 Pine Road,Chicago,IL,USA,60601,+1-312-555-0404,contact@spiceparadise.com,https://www.spiceparadise.com,https://example.com/images/spice-paradise.jpg,41.8781,-87.6298,45,30,24,false,
El Mariachi,el-mariachi,Traditional Mexican restaurant with homemade tortillas and authentic recipes,Mexican,654 Cedar Lane,Miami,FL,USA,33101,+1-305-555-0505,info@elmariachi.com,https://www.elmariachi.com,https://example.com/images/el-mariachi.jpg,25.7617,-80.1918,30,21,12,false,
Thai Orchid,thai-orchid,Elegant Thai restaurant with authentic flavors and contemporary atmosphere,Thai,987 Birch Boulevard,Seattle,WA,USA,98101,+1-206-555-0606,bookings@thaiorchid.com,https://www.thaiorchid.com,https://example.com/images/thai-orchid.jpg,47.6062,-122.3321,60,30,24,true,40
The Steakhouse Prime,the-steakhouse-prime,Premium steakhouse featuring USDA Prime beef and an extensive wine collection,Steakhouse,147 Maple Drive,Boston,MA,USA,02101,+1-617-555-0707,reservations@steakhouseprime.com,https://www.steakhouseprime.com,https://example.com/images/steakhouse-prime.jpg,42.3601,-71.0589,120,60,48,true,100
Garden Greens,garden-greens,Plant-based restaurant focusing on fresh organic and sustainably sourced ingredients,Vegetarian,258 Willow Path,Portland,OR,USA,97201,+1-503-555-0808,info@gardengreens.com,https://www.gardengreens.com,https://example.com/images/garden-greens.jpg,45.5152,-122.6784,45,30,24,false,
Casa Korea,casa-korea,Contemporary Korean cuisine with BBQ table service and traditional side dishes,Korean,369 Spruce Street,Denver,CO,USA,80202,+1-303-555-0909,info@casaorea.com,https://www.casaorea.com,https://example.com/images/casa-korea.jpg,39.7392,-104.9903,90,45,36,true,60
Tapas Barcelona,tapas-barcelona,Spanish tapas bar with small plates craft cocktails and Mediterranean wine,Spanish,741 Ash Court,Austin,TX,USA,78701,+1-512-555-1010,reservations@tapasbarcelona.com,https://www.tapasbarcelona.com,https://example.com/images/tapas-barcelona.jpg,30.2672,-97.7431,60,30,24,false,
